Type,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Maintenance
Car_ICEV,58.76,1715.77,1120.24,2.40,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,895.50
SUV_ICEV,80.51,2301.14,1243.84,2.36,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1012.50
PickUp_ICEV,80.51,2301.14,1243.84,2.38,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1012.50
Car_HEV,42.39,1640.34,1106.38,2.40,2.37,1.25,5.01,6.22,0.00,0.00,0.00,0.00,0.00,0.00,895.50
SUV_HEV,59.38,2202.80,1226.17,2.39,2.36,1.25,5.01,6.22,0.00,0.00,0.00,0.00,0.00,0.00,1012.50
PickUp_HEV,59.38,2202.80,1226.17,2.39,2.37,1.25,5.01,6.22,0.00,0.00,0.00,0.00,0.00,0.00,1012.50
Car_PHEV,42.39,1656.34,1173.84,2.41,2.38,0.00,0.00,0.00,9.43,33.62,24.69,0.00,0.00,0.00,771.25
SUV_PHEV,59.38,2218.80,1293.64,2.40,2.37,0.00,0.00,0.00,9.43,33.62,24.69,0.00,0.00,0.00,873.75
PickUp_PHEV,59.38,2218.80,1293.64,2.40,2.39,0.00,0.00,0.00,9.43,33.62,24.69,0.00,0.00,0.00,873.75
Car_BEV,35.25,1140.09,1141.25,2.40,2.41,0.00,0.00,0.00,7.52,24.50,14.77,0.00,0.00,0.00,647.00
SUV_BEV,50.30,1471.18,1246.34,2.38,2.39,0.00,0.00,0.00,7.52,24.50,14.77,0.00,0.00,0.00,735.00
PickUp_BEV,50.30,1471.18,1246.34,2.37,2.40,0.00,0.00,0.00,7.52,24.50,14.77,0.00,0.00,0.00,735.00
Car_FCV,35.25,1124.09,1073.78,2.41,2.43,1.25,5.01,6.22,0.00,0.00,0.00,5.00,56.48,40.89,647.00
SUV_FCV,50.30,1455.17,1178.87,2.39,2.42,1.25,5.01,6.22,0.00,0.00,0.00,5.00,56.48,40.89,735.00
PickUp_FCV,50.30,1455.17,1178.87,2.38,2.43,1.25,5.01,6.22,0.00,0.00,0.00,5.00,56.48,40.89,735.00
ecoinvent,0.00,0.00,0.00,4.08,4.30,1.25,17.84,15.55,8.77,25.36,41.81,5.88,48.00,50.62,0.00
