Fuel,X1,X2,X3,X4,X5,X6,Price_Avg,Price_Min,Price_Max
Biodiesel,0.00,-6157,1.52,0.00,0,8596,0.00,0.00,3.39
E85,0.00,-755,1.14,2.18,8456,0,2.51,1.49,3.56
Biogasoline,0.00,-5869,1.64,0.00,2,8432,0.00,0.00,3.14
Diesel,0.00,1709,0.49,0.20,8871,0,3.39,1.94,5.17
Electricity,0.00,0,32.88,0.00,0,0,4.10,3.48,4.50
Gasoline_Premium,0.00,1857,0.59,2.18,8607,0,3.41,2.14,4.73
Gasoline,0.00,1857,0.59,2.18,8607,0,3.14,1.86,4.47
H2_Gas_Electrolysis,0.00,0,52.29,0.00,0,0,7.47,7.11,7.77
H2_Gas_SMR,0.00,11478,4.30,3.27,0,0,4.05,3.62,6.03
Diesel_ecoinvent,0.00,1533,0.46,0.20,8871,0,3.39,1.94,5.17
Gasoline_ecoinvent,0.00,2144,0.62,2.18,8607,0,3.14,1.86,4.47
Gasoline_Premium_ecoinvent,0.00,2144,0.62,2.18,8607,0,3.41,2.14,4.73
Electricity_ecoinvent,0.00,0,32.88,0.00,0,0,4.10,3.48,4.50
