Vehicle,Make,Model,Suffix,Sales,Powertrain,Combined_Type,Weight_Lowest,Weight_Highest,Class,Subclass,Subclass_Add,Refund_Federal,Refund_State,Fueltype,Battery_Power,Battery_Capacity,Fuelcell_Power,CD_Gasoline,Lightweighting,MSRP_Lowest,MSRP_Highest,Trim1_Name,Trim1_Style,Trim1_MSRP,Trim1_MPG_City,Trim1_MPG_Highway,Trim1_MPG_City_CD,Trim1_MPG_Highway_CD,Trim1_Transmission,Trim1_Cylinders,Trim1_HP
Ford F-Series,Ford,F-Series,,753851,ICEV,ICEV,4685,6113,Pickup,,,,,,,,,,,25025,54410,XL,4x2 Regular Cab Styleside 6.5 ft. box 126 in. WB,25025,17,23,,,6-spd automatic w/overdrive,6,302
Ford F-Series,Ford,F-Series,,753851,ICEV,ICEV,4685,6113,Pickup,,,,,,,,,,,25025,54410,SVT Raptor,4x4 SuperCab Styleside 5.5 ft. box 133 in. WB,44995,11,16,,,6-spd automatic w/overdrive,8,411
Chevrolet Silverado,Chevrolet,Silverado,,529755,ICEV,ICEV,4567,6595,Pickup,,,,,,,,,,,25575,49180,Work Truck w/1WT,4x2 Regular Cab 6.6 ft. box 119 in. WB,25575,18,24,,,6-spd automatic w/overdrive,6,285
Chevrolet Silverado,Chevrolet,Silverado,,529755,ICEV,ICEV,4567,6595,Pickup,,,,,,,,,,,25575,49180,LTZ w/1LZ,4x4 Double Cab 6.6 ft. box 143.5 in. WB,41910,16,22,,,6-spd automatic w/overdrive,8,355
Ram P/U,Ram,P/U,,439789,ICEV,ICEV,4514,7077,Pickup,,,,,,,,,,,25060,49880,HFE,4x2 Regular Cab 120 in. WB,29570,18,25,,,8-spd automatic w/overdrive,6,305
Ram P/U,Ram,P/U,,439789,ICEV,ICEV,4514,7077,Pickup,,,,,,,,,,,25060,49880,Tradesman,4x4 Crew Cab 149 in. WB,36055,13,19,,,6-spd automatic w/overdrive,8,395
Toyota Camry,Toyota,Camry,,389091,ICEV,ICEV,3190,3420,Sedan/Hatchback,Mid-size,,,,,,,,,,22425,30705,L,4dr Sedan,22425,25,35,,,6-spd automatic w/overdrive,4,178
Toyota Camry,Toyota,Camry,,389091,ICEV,ICEV,3190,3420,Sedan/Hatchback,Mid-size,,,,,,,,,,22425,30705,SE V6,4dr Sedan,27850,21,31,,,6-spd automatic w/overdrive,6,268
Honda Accord,Honda,Accord,,374397,ICEV,ICEV,3186,3559,Sedan/Hatchback,Mid-size,,,,,,,,,,21955,33480,EX-L,4dr Sedan,28270,27,36,,,2-spd CVT w/overdrive,4,185
Honda Accord,Honda,Accord,,374397,ICEV,ICEV,3186,3559,Sedan/Hatchback,Mid-size,,,,,,,,,,21955,33480,EX-L V-6,2dr Coupe,30625,18,28,,,6-spd manual w/overdrive,6,278
Toyota Corolla/Matrix,Toyota,Corolla/Matrix,,339498,ICEV,ICEV,2800,2875,Sedan/Hatchback,Compact,,,,,,,,,,16800,21300,LE Plus,4dr Sedan,18700,30,42,,,2-spd CVT w/overdrive,4,140
Toyota Corolla/Matrix,Toyota,Corolla/Matrix,,339498,ICEV,ICEV,2800,2875,Sedan/Hatchback,Compact,,,,,,,,,,16800,21300,L,4dr Sedan,16800,28,37,,,6-spd manual w/overdrive,4,132
Nissan Altima,Nissan,Altima,,335644,ICEV,ICEV,3108,3355,Sedan/Hatchback,Mid-size,,,,,,,,,,22170,30820,2.5,4dr Sedan,22170,27,38,,,Xtronic 2-spd CVT w/overdrive,4,182
Nissan Altima,Nissan,Altima,,335644,ICEV,ICEV,3108,3355,Sedan/Hatchback,Mid-size,,,,,,,,,,22170,30820,3.5 S,4dr Sedan,26320,22,31,,,Xtronic 2-spd CVT w/overdrive,6,270
Honda CR-V,Honda,CR-V,,335019,ICEV,ICEV,3305,3545,SUV,Compact,,,,,,,,,,23120,29120,LX,4dr Front-wheel Drive,23120,23,31,,,5-spd automatic w/overdrive,4,185
Honda CR-V,Honda,CR-V,,335019,ICEV,ICEV,3305,3545,SUV,Compact,,,,,,,,,,23120,29120,LX,4dr All-wheel Drive,24370,22,30,,,5-spd automatic w/overdrive,4,185
Honda Civic,Honda,Civic,,320911,ICEV,ICEV,2749,3011,Sedan/Hatchback,Mid-size,,,,,,,,,,18190,26640,HF,4dr Sedan,19940,31,41,,,2-spd CVT w/overdrive,4,143
Honda Civic,Honda,Civic,,320911,ICEV,ICEV,2749,3011,Sedan/Hatchback,Mid-size,,,,,,,,,,18190,26640,Si,2dr Coupe,22790,22,31,,,6-spd manual w/overdrive,4,205
Ford Escape,Ford,Escape,,306212,ICEV,ICEV,3502,3645,SUV,Compact,,,,,,,,,,23100,30850,SE,4dr Front-wheel Drive,25550,23,32,,,6-spd automatic w/overdrive,4,173
Ford Escape,Ford,Escape,,306212,ICEV,ICEV,3502,3645,SUV,Compact,,,,,,,,,,23100,30850,SE,4dr 4x4,27300,22,30,,,6-spd automatic w/overdrive,4,173
Chevrolet Cruze,Chevrolet,Cruze,,273060,ICEV,ICEV,3005,3471,Sedan/Hatchback,Compact,,,,,,,,,,17520,23805,ECO Manual,4dr Sedan,19935,28,42,,,6-spd manual w/overdrive,4,138
